date,Livraison,Suivi colis,Expédition colis,Tarif colis,Envoi colis,Livraison express,Livraison domicile,Délai livraison,Retard livraison,Service de livraison,Point relais,colis
2018-01-13,81,50,0,44,32,63,62,66,100,52,91,67
2018-01-14,69,21,0,44,44,76,49,54,60,22,38,43
2018-01-15,66,79,39,70,61,15,58,45,35,53,87,80
2018-01-16,61,82,0,52,76,37,41,0,34,0,77,88
2018-01-17,61,98,0,38,49,62,50,54,48,49,93,98
2018-01-18,62,80,0,62,35,53,45,96,18,41,86,84
2018-01-19,70,83,0,48,85,17,52,76,29,0,80,86
2018-01-20,74,54,100,46,55,46,68,0,38,32,83,71
2018-01-21,71,27,0,76,51,27,66,0,21,25,36,38
2018-01-22,62,70,0,66,56,45,42,75,51,0,78,76
2018-01-23,55,74,0,71,93,17,50,69,34,0,100,79
2018-01-24,62,86,0,61,73,17,41,78,32,0,69,85
2018-01-25,56,76,0,42,50,25,42,32,20,0,92,76
2018-01-26,65,71,0,28,46,65,50,87,19,39,69,78
2018-01-27,72,58,0,40,51,21,51,0,26,23,83,64
2018-01-28,75,25,46,66,80,15,78,56,26,0,38,39
2018-01-29,66,64,0,63,48,0,71,58,37,42,84,71
2018-01-30,62,58,0,56,61,60,61,64,0,57,77,71
2018-01-31,63,76,0,61,70,62,54,53,37,0,83,77
2018-02-01,65,70,0,59,51,25,56,37,62,0,74,73
2018-02-02,70,69,0,68,45,18,54,77,0,0,71,70
2018-02-03,76,41,56,37,31,42,71,0,38,31,80,57
2018-02-04,77,31,77,71,58,38,81,0,0,22,33,44
2018-02-05,70,52,42,57,59,56,58,75,0,33,98,66
2018-02-06,67,63,0,41,44,0,52,60,33,0,72,72
2018-02-07,68,66,0,34,62,17,58,67,52,0,59,73
2018-02-08,71,82,0,75,53,88,58,52,84,29,82,82
2018-02-09,79,88,0,37,59,58,74,42,84,100,74,83
2018-02-10,84,69,0,31,54,33,80,0,39,0,69,73
2018-02-11,83,31,0,56,58,42,100,44,47,0,48,43
2018-02-12,82,83,0,64,70,71,65,55,73,38,62,91
2018-02-13,89,88,0,40,41,68,73,38,48,34,91,98
2018-02-14,100,100,89,52,47,100,78,28,55,58,85,100
2018-02-15,63,87,0,73,52,0,55,0,25,0,80,92
2018-02-16,72,88,79,45,75,83,55,51,75,28,84,90
2018-02-17,72,60,0,44,41,0,68,21,0,0,73,63
2018-02-18,71,19,0,48,36,27,77,0,0,61,51,36
2018-02-19,59,60,0,58,38,0,49,48,0,0,65,66
2018-02-20,58,78,0,92,73,47,36,33,72,60,85,85
2018-02-21,59,76,0,63,63,51,62,70,52,46,69,79
2018-02-22,57,78,0,65,55,48,48,54,20,29,71,79
2018-02-23,66,56,0,46,33,26,54,0,17,55,81,72
2018-02-24,64,45,0,89,33,31,61,35,45,36,51,56
2018-02-25,72,25,0,42,42,59,61,40,28,37,35,34
2018-02-26,64,59,0,58,56,35,63,24,16,34,60,62
2018-02-27,66,65,0,73,43,61,60,56,28,41,84,72
2018-02-28,71,69,0,49,94,63,65,26,50,0,77,74
2018-03-01,75,70,0,41,68,0,67,39,18,61,66,75
2018-03-02,77,63,0,35,44,67,57,0,0,29,80,69
2018-03-03,85,51,0,32,72,56,68,52,55,0,67,63
2018-03-04,84,22,47,44,42,77,84,54,37,0,34,36
2018-03-05,62,60,0,78,69,31,50,42,0,0,72,66
2018-03-06,66,64,0,63,62,71,50,59,43,0,90,71
2018-03-07,69,75,0,47,79,33,45,47,0,27,80,82
2018-03-08,65,72,0,54,79,45,61,86,48,22,71,75
2018-03-09,64,75,0,39,50,59,49,42,0,27,78,72
2018-03-10,73,54,0,50,41,30,76,0,36,0,75,62
2018-03-11,66,18,0,48,54,22,67,0,37,37,42,37
2018-03-12,55,67,86,73,55,69,54,76,79,31,83,70
